worker_id,task_id,task_response_id,is_reviewed,review_score,tweet_id,text,username,bio,Categorize the tweet
4TG67HVWJNDP,909fc038-d4fd-45f0-b849-d975760f163d,02dcb39a-c525-418a-9198-5c08d354935a,true,,1540795861126352898,"It getting pregnant endangers your life......

THEN STOP GETTING PREGNANT DUMBASS.

Why should the baby die because… https://t.co/Q3Uddrh8tq",AChristhope,"Humankind is neither humane nor kind. Creator of EGO FOOTPRINT /INHUMANE HUMAN EVOLUTION THEORIES as well as a published writer, poet, & Co-creator of Anonymous",Pro-life
2AZWNZRTVACE,0dcd0bda-127d-4b57-a479-08efc85fb902,031abcc4-deb2-42b2-8b36-979f77d006c6,false,,1540784525864669186,"@bluekat323 @leighmatsell @caambers @Robthefrosty @Sparkle31888597 The ""domestic terrorism"" is happening RIGHT NOW… https://t.co/THft1peY8s",LegalLatino2022,"Left January 2021. Starting anew. Love all animals, but especially cats. 
DARK ULTRA GREAT MAGA KING GANG!
Guns SAVE lives. #BlackGunsMatter",Pro-life
6CNHTCG6W6XM,8617b170-4d3a-4789-b020-c51c0ce1e7c9,035e1a0b-fec5-4c88-81a4-6a79ba4c1d2f,false,,1540795218097688576,@JoeBiden Dont you have the power to make an executive order to make Roe v Wade into a permanent constitutional right?,Sploiv,i dont fuckin know anymore,Pro-choice
7R2NKCJQNXPP,851318f8-7671-4f45-9a98-58ebe7013de1,037c1004-9dd9-4bce-a792-adffb278be86,false,,1540795712610258944,https://t.co/2vL1gxc3P3,AuntyLush,Judge jury and old joyce ~~ She/her,Pro-choice
X6P6DQRXD62A,a42881d0-a01a-4c7c-acfa-9d21434b59b0,03d7bc4f-4fd0-4658-bf0f-3151150d6d41,false,,1540796129725427715,The overturning of Roe was not an attack on women. It returned decision-making to the people and their elected repr… https://t.co/qJJ6CfIxWi,parlermaid,,Pro-life
2AZWNZRTVACE,ac8b87c6-ed8e-4f21-9005-59c06146397d,04074d9a-3c8c-44d8-9817-674d2d8db150,false,,1540796235778764800,"Even to this day, I can rattle off a list of landmark decisions by the US Supreme Court and how important they were… https://t.co/Qx5fHyzHE1",Griptread,You’d think I’d be funnier for someone who uses humour as a coping mechanism,Pro-choice
T3RMAEPRMD6J,23e02b53-ff66-4dd1-92e0-98eb2cee3cc6,0414368b-e5d8-4b77-afc8-888c73655a14,false,,1540795795460395008,"@jaredstacy Yes, rights based thinking is the whole problem with this debate. Abortion rights as they’ve existed fo… https://t.co/w8BMCuq6ad",ac_gleason,@aaronkyle47 educator. podcaster. writer. conservative.,Pro-choice
73FP3QEHRD7V,7d9790e2-d115-49cb-998f-7b70d59abd7a,04816883-6f94-4425-a8da-d83be3027f2a,false,,1540795450243969024,Disney was nothing but a Façade.  We’re seeing their true selves.  They stand against parents rights and now stand… https://t.co/N3V8F1PR8N,CDelFico,My edit bottom has snapped in half. 🇺🇸,Pro-life
DPNAMHPJRREC,291d5d5e-b008-4794-aa22-44538bfffaa7,049bb75c-96ad-44d6-b42f-1d156d7d9ec8,false,,1540796064650903552,@DarkNookShop @Cubs_Michael @GoodManOnceSaid @DonaldJTrumpJr Let us also talk about the majority. Those that run aw… https://t.co/flrSyp7Ub2,bankiemag,,Pro-life
DK4H9CMZRWET,681270e5-0599-42fe-a472-683e9a28406c,04abaa4d-8813-4509-9e8c-b58dd5a690c3,false,,1540796188948975616,"@ErrolWebber No but i can name 10 or more where abortion is not legal starting with Poland, Germany, Portugal etc 🙃",BeTheRichChris,Dad | Wedding Photographer | Truth Fighter 🇺🇸 | Truth Social: trumpsmexicanamigo,Pro-life
ZNXMTR4YRRAP,82d7eb71-9020-430a-bdf4-eb700f778cc0,04c12044-1644-4a95-b3b0-1449a104c2bb,false,,1540796090219319299,We need to focus on all rights that could be interpreted as unenumerated rights under the 9th Amendment.  Laws conc… https://t.co/i0U0gRiUeR,GordonStock3,"Father. Husband. Sick of the vulgarity,  corruption, jingoism, xenophobia, and 21st century Know Nothingness of TFG and this GOP.          Yale (SM '93).",Pro-choice
7ZGW996YFZ6X,fdc9dbec-6f29-4573-a5d6-95138ae53bea,050d13a8-61e7-41dc-9486-d4734b81a036,false,,1540795848014962689,"Trust God, President Joe Biden, trust Abba! The judges that voted to overturn Roe vs Wade, were obeying the voice o… https://t.co/9ArHovcy7f",CjleighDr,I Am an Ambassador for Jesus Christ,Pro-life
7R2NKCJQNXPP,57e31cea-9a8a-4b96-a5dd-7e930cbeff49,05395c5f-fb9e-450b-aaee-b8e58348a2e8,false,,1540795950876315648,@D_B_Harrison Very similar to the White Pastors who will cheer Roe being overturned while ignoring the fact that ma… https://t.co/uQewQUcVoG,RizNJ,,Pro-choice
Z6J69GNZYEXY,f29fe284-0240-4658-92ee-f699d6a37a31,055a5d12-1d2b-4b27-984f-bd65891d09e2,false,,1540794440792408065,"More proof that #BrettKavanaugh always has been and still IS A LIAR! 

https://t.co/uRudfElL5q",cdbrzezinski,Human Being. #CodeRedForHumanity #ClimateEmergency #MedicareForAll #End4ProfitWars #PromotePeace #RCV #VoteByMail #BlackLivesMatter #MMT,Pro-choice
